976364372;Ubah Data Faktur Penjualan 010.000-13.00000177;23/01/2013 11:46:05; di Nopend 17000 dengan id (30442);
;Ubah Status Verifikasi;23/01/2013 11:54:20; (30442);
980382038;Pembatalan Faktur Pajak Keluaran 010.000-13.00000313;23/01/2013 12:27:24; id : (30578);
;Insert data;23/01/2013 12:48:44; ();
;Insert data;23/01/2013 12:53:46; ();
;Insert data;23/01/2013 12:58:39; ();
;Insert data;23/01/2013 13:02:29; ();
;Insert data;23/01/2013 13:06:46; ();
;Insert data;23/01/2013 13:13:48; ();
968238361;Ubah Data Faktur Penjualan 010.000-13.00000375;23/01/2013 13:14:52; di Nopend 29200 dengan id (30640);
968238361;Ubah Data Faktur Penjualan 010.000-13.00000375;23/01/2013 13:16:06; di Nopend 29200 dengan id (30640);
;Insert data;23/01/2013 13:18:47; ();
;Insert data;23/01/2013 13:23:14; ();
971341679;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Serba Usaha Dharma Inti Tapian;23/01/2013 13:23:44; di Nopend 17400;
968238361;Terkait Biaya;23/01/2013 13:25:54; di Nopend 29200 dengan id (41);
;Insert data;23/01/2013 13:28:42; ();
;Insert data;23/01/2013 13:35:28; ();
968238361;Pembatalan Bukti Potong 000001/29200/0113;23/01/2013 13:37:34; id : (41);
;Insert data;23/01/2013 13:37:46; ();
968238361;Pembatalan Bukti Potong 000001/29200/0113;23/01/2013 13:37:57; id : (41);
;Insert data;23/01/2013 13:40:37; ();
;Insert data;23/01/2013 13:43:05; ();
;Insert data;23/01/2013 13:47:59; ();
;Insert data;23/01/2013 13:52:12; ();
9673558622;Terkait BiayaAPANG;23/01/2013 13:55:02; di Nopend 10004;
;Insert data;23/01/2013 13:59:29; ();
984400394;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NASARI BANJARMASIN;23/01/2013 14:00:41; di Nopend 70000;
972322693;Insert Data Faktur Penjualan dgn Pemebeli PT. BTPN CAB BATURAJA;23/01/2013 14:00:52; di Nopend 32100;
972322693;Insert Data Faktur Penjualan dgn Pemebeli KSP NASARI  BTA;23/01/2013 14:01:50; di Nopend 32100;
984400394;Pembatalan Faktur Pajak Keluaran 010.000-13.00000402;23/01/2013 14:03:19; id : (30667);
979383766;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;23/01/2013 14:05:18; di Nopend 42300;
;Insert data;23/01/2013 14:05:24; ();
984400394;Pembatalan Faktur Pajak Keluaran 010.000-13.00000402;23/01/2013 14:06:34; id : (30667);
;Insert data;23/01/2013 14:07:50; ();
968238361;Pembatalan Faktur Pajak Keluaran 010.000-13.00000375;23/01/2013 14:07:59; id : (30640);
972322693;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;23/01/2013 14:08:11; di Nopend 32100;
968238361;Ubah Data Faktur Penjualan 010.000-13.00000375;23/01/2013 14:13:49; di Nopend 29200 dengan id (30640);
989399370;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;23/01/2013 14:15:46; di Nopend 86300;
;Insert data;23/01/2013 14:17:41; ();
989399370;Insert Data Faktur Penjualan dgn Pemebeli PRIMKOPABRI;23/01/2013 14:18:34; di Nopend 86300;
;Insert data;23/01/2013 14:21:08; ();
989399370;Insert Data Faktur Penjualan dgn Pemebeli BTPN;23/01/2013 14:23:09; di Nopend 86300;
972322693;Insert Data Faktur Penjualan dgn Pemebeli KOP KAR PT POS INDONESIA KTR POS BATURAJA;23/01/2013 14:23:25; di Nopend 32100;
972322693;Insert Data Faktur Penjualan dgn Pemebeli KOPEPAS BINA KARYA BATURAJA;23/01/2013 14:24:38; di Nopend 32100;
972322693;Insert Data Faktur Penjualan dgn Pemebeli KSP KARYA MULYA BATURAJA;23/01/2013 14:25:40; di Nopend 32100;
989399370;Insert Data Faktur Penjualan dgn Pemebeli KSP Arta Mitra Surya;23/01/2013 14:25:44; di Nopend 86300;
;Insert data;23/01/2013 14:25:49; ();
972322693;Insert Data Faktur Penjualan dgn Pemebeli BPR TAHAP GANDA BATURAJA;23/01/2013 14:26:36; di Nopend 32100;
989399370;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI KREDIT BAHTERA ;23/01/2013 14:27:07; di Nopend 86300;
972322693;Insert Data Faktur Penjualan dgn Pemebeli KSU RIZKY ABADI;23/01/2013 14:28:24; di Nopend 32100;
989399370;Insert Data Faktur Penjualan dgn Pemebeli PRIMER KOPERASI WREDATAMA;23/01/2013 14:28:32; di Nopend 86300;
989399370;Insert Data Faktur Penjualan dgn Pemebeli PEPABRI ENDE;23/01/2013 14:29:34; di Nopend 86300;
989399370;Insert Data Faktur Penjualan dgn Pemebeli PEPABRI BAJAWA;23/01/2013 14:31:37; di Nopend 86300;
